id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
5940866,"Sunny room, en-suite bathroom, minutes to Boston",12720679,Valerie,,East Boston,42.37615,-71.03331,Private room,100,1,409,2022-10-29,4.40,1,0,38,STR-427440
5967421,The Meditation Room near Harvard Square,26956083,Todd,,Allston,42.3605,-71.12633,Private room,52,91,172,2021-12-22,1.85,4,235,1,
6080461,Fort Hill Inn- Cozy Studio ApT 1.5 miles to Center,28662210,Terry,,Roxbury,42.32966,-71.09597,Entire home/apt,169,3,106,2022-10-26,1.14,5,0,8,STR446654
6089865,"N2 Little Italy, Historic, Freedom Trail,TD Garden",3637081,Sarah,,North End,42.36545,-71.05623,Entire home/apt,126,2,557,2022-12-06,5.98,13,92,76,Exempt: This listing is a unit used for furnished institutional or business stays
6119918,"RENOVATED, Pvt entrance, CDC cleaning, Whole Foods",546854,Sanjay,,Allston,42.34689,-71.13679,Entire home/apt,145,32,112,2022-08-12,1.21,2,180,1,
6179374,Harvard Boston University MIT,30489899,Home On Blaine,,Allston,42.35483,-71.13694,Private room,45,91,6,2019-12-20,0.07,4,363,0,STR-404592
6238463,Pvt tree top suite in great location,31691830,Penny,,Jamaica Plain,42.31583,-71.11448,Private room,116,2,256,2022-11-26,2.90,1,62,53,STR-411564
6248970,Spacious room convenient to subway,32449720,Shawn,,Jamaica Plain,42.31984,-71.10569,Private room,65,3,272,2022-08-12,2.94,1,6,2,STR-418340
6317446,Brand New 2 BR | 1 BA in So. BOS #2,9410008,Jason,,South Boston,42.33536,-71.04523,Entire home/apt,229,9,180,2020-05-31,1.96,22,85,0,Exempt: This listing is a unit that has contracts with hospitals
6317722,Brand New 2 BR | 1 BA in So. BOS #3,9410008,Jason,,South Boston,42.33536,-71.04523,Entire home/apt,450,10,168,2022-08-17,1.83,22,126,8,Exempt: This listing is a unit that has contracts with hospitals
6377998,"Family friendly Victorian home, walk to T",987917,Helder,,Jamaica Plain,42.31584,-71.09932,Entire home/apt,400,4,39,2022-09-05,0.43,1,141,4,STR-416102
6426364,Great city views top floor one bed #7,9653086,Glenn,,South End,42.34144,-71.0763,Entire home/apt,140,29,82,2022-05-29,0.89,6,323,2,
6465075,Spacious 5BR Condo Near Metro,635157,Catlin,,Jamaica Plain,42.29828,-71.11048,Entire home/apt,878,3,167,2022-11-27,1.81,1,316,32,STR-445893
6489209,"Large room, excellent access",26098645,Manuela,,South Boston,42.33034,-71.05802,Private room,61,5,89,2022-11-21,0.97,4,199,17,STR-445765
6513924,Spacious unit near public transportation,16398126,Chris,,Roslindale,42.2863,-71.11945,Entire home/apt,77,91,105,2020-05-27,1.14,1,264,0,
6544267,Urban Oasis / Apartment perfect for work & create,34227346,Kai,,Roxbury,42.32932,-71.08925,Entire home/apt,149,3,59,2022-12-18,1.03,1,351,6,STR-494371
6603827,Cozy private room near bus stop,34552909,Barrie,,Roslindale,42.28411,-71.11693,Private room,50,29,13,2021-09-30,0.14,3,309,0,
6646604,"Sunny renovated 1 bed, near BC,BU",31340713,Kama,,Brighton,42.34118,-71.14678,Entire home/apt,135,90,33,2022-01-22,0.36,21,290,1,Exempt: This listing is a unit used for furnished institutional or business stays
6690605,Renovated Boston Apartment,35018472,Jennifer,,Charlestown,42.37639,-71.06389,Entire home/apt,200,91,24,2019-08-13,0.27,1,0,0,
